Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),votes16_trumpd,votes16_clintonh,Fips,Democrats08_Voteshare,Republicans08_Voteshare,Democrats12_Voteshare,Republicans12_Voteshare,Democrats16_Voteshare,Republicans16_Voteshare
7654.0,7611.0,10139.0,10673.0,13430.0,6434.0,21179,0.4301691676501995,0.5698308323498005,0.41626558739881864,0.5837344126011813,0.3239025372533226,0.6760974627466774
9525.0,5646.0,12655.0,17590.0,19740.0,4277.0,21195,0.4294409377817854,0.5705590622182146,0.2429850232398003,0.7570149767601997,0.1780821917808219,0.821917808219178
3484.0,2683.0,10015.0,10232.0,11312.0,2067.0,21235,0.25809319208830284,0.7419068079116972,0.20774293457220286,0.7922570654277972,0.15449585170790045,0.8455041482920995
1474.0,1422.0,6907.0,7082.0,7406.0,1181.0,22043,0.17587400071590503,0.824125999284095,0.1672154280338664,0.8327845719661335,0.13753348084313496,0.862466519156865
6610.0,6802.0,11417.0,11400.0,11538.0,6259.0,22119,0.36667221390137017,0.6333277860986298,0.3736951983298539,0.6263048016701461,0.35168848682362197,0.648311513176378
146861.0,142962.0,90531.0,93752.0,104775.0,127619.0,25005,0.6186434252207319,0.38135657477926804,0.6039439999324079,0.3960560000675921,0.5491492895685774,0.4508507104314225
1476.0,1591.0,2480.0,2512.0,2463.0,1551.0,48371,0.3731041456016178,0.6268958543983822,0.3877650499634414,0.6122349500365586,0.3863976083707025,0.6136023916292974
1048.0,761.0,3146.0,3279.0,3919.0,619.0,48379,0.24988078206962328,0.7501192179303767,0.18836633663366337,0.8116336633663367,0.1364037020713971,0.8635962979286029
8854.0,7856.0,12404.0,12005.0,13004.0,7825.0,48409,0.41650202276789916,0.5834979772321008,0.3955490660087609,0.6044509339912391,0.3756781410533391,0.6243218589466609
3409.0,3600.0,1456.0,1416.0,1541.0,3416.0,48489,0.7007194244604317,0.2992805755395683,0.7177033492822966,0.2822966507177033,0.6891264877950373,0.3108735122049627
450.0,409.0,1989.0,1698.0,1797.0,426.0,48501,0.18450184501845018,0.8154981549815498,0.19411485524442335,0.8058851447555766,0.19163292847503374,0.8083670715249662
